AUC score	Balanced accuracy score	Precision	Recall	species	antibiotic	MOA	fold	case	R1	S1	Rn	Sn	distance	model	split
0.7238888888888888	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	24	A-c	194	0	339	58	4.308972766337762	LightGBM	random
0.6829166666666667	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	25	A-c	194	0	339	58	4.308972766337762	LightGBM	random
0.8155555555555556	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	26	A-c	195	0	339	58	4.308972766337762	LightGBM	random
0.8087500000000002	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	27	A-c	195	0	340	58	4.308972766337762	LightGBM	random
0.8026388888888887	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	28	A-c	195	0	340	58	4.308972766337762	LightGBM	random
0.783611111111111	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	29	A-c	195	0	340	58	4.308972766337762	LightGBM	random
0.9923591836734694	0.885714285714286	1.0	0.7714285714285716	Klebsiella pneumoniae	amikacin	PSI	30	A-d	0	63	339	57	4.308972766337762	LightGBM	random
0.9672361591695504	0.8536764705882358	0.9657692307692308	0.7352941176470589	Klebsiella pneumoniae	amikacin	PSI	31	A-d	0	64	339	57	4.308972766337762	LightGBM	random
0.9401081314878892	0.8839705882352941	0.9671428571428566	0.7941176470588236	Klebsiella pneumoniae	amikacin	PSI	32	A-d	0	64	339	57	4.308972766337762	LightGBM	random
0.8931747404844289	0.8970588235294111	1.0	0.7941176470588236	Klebsiella pneumoniae	amikacin	PSI	33	A-d	0	64	339	57	4.308972766337762	LightGBM	random
0.9351239669421488	0.8636363636363633	1.0	0.7272727272727276	Klebsiella pneumoniae	amikacin	PSI	34	A-d	0	64	339	58	4.308972766337762	LightGBM	random
0.9322773186409548	0.8854545454545453	0.9142120875046348	0.8484848484848482	Klebsiella pneumoniae	amikacin	PSI	35	A-d	0	64	339	58	4.308972766337762	LightGBM	random
0.956202938475666	0.8812121212121211	0.9666666666666668	0.7878787878787876	Klebsiella pneumoniae	amikacin	PSI	36	A-d	0	64	339	58	4.308972766337762	LightGBM	random
0.925137741046832	0.8939393939393939	1.0	0.7878787878787876	Klebsiella pneumoniae	amikacin	PSI	37	A-d	0	64	340	58	4.308972766337762	LightGBM	random
0.928682277318641	0.91	0.9689655172413796	0.8484848484848482	Klebsiella pneumoniae	amikacin	PSI	38	A-d	0	64	340	58	4.308972766337762	LightGBM	random
0.9390082644628098	0.8803030303030301	0.968148148148148	0.7878787878787876	Klebsiella pneumoniae	amikacin	PSI	39	A-d	0	64	340	58	4.308972766337762	LightGBM	random
0.6813000000000002	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	40	A-a	212	81	38	0	2.058891203975465	LightGBM	random
0.8453703703703703	0.5555555555555555	1.0	0.1111111111111111	Klebsiella pneumoniae	amikacin	PSI	41	A-a	212	82	38	0	2.058891203975465	LightGBM	random
0.5395679012345679	0.6111111111111112	1.0	0.2222222222222222	Klebsiella pneumoniae	amikacin	PSI	42	A-a	212	82	38	0	2.058891203975465	LightGBM	random
0.6505555555555557	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	43	A-a	212	82	39	0	2.058891203975465	LightGBM	random
0.7046913580246913	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	44	A-a	212	82	39	0	2.058891203975465	LightGBM	random
0.7542592592592594	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	45	A-a	212	82	39	0	2.058891203975465	LightGBM	random
0.7601851851851853	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	46	A-a	213	82	39	0	2.058891203975465	LightGBM	random
0.6650617283950616	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	47	A-a	213	82	39	0	2.058891203975465	LightGBM	random
0.8248765432098766	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	48	A-a	213	82	39	0	2.058891203975465	LightGBM	random
0.8071604938271604	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	49	A-a	213	82	39	0	2.058891203975465	LightGBM	random
0.949652777777778	0.9152083333333334	0.9539335598548416	0.8637499999999999	Klebsiella pneumoniae	amikacin	PSI	50	A-b	212	81	0	275	2.058891203975465	LightGBM	random
0.97890625	0.9210416666666668	0.884697435897436	0.9666666666666668	Klebsiella pneumoniae	amikacin	PSI	51	A-b	212	82	0	275	2.058891203975465	LightGBM	random
0.966796875	0.9564583333333334	1.0	0.9208333333333332	Klebsiella pneumoniae	amikacin	PSI	52	A-b	212	82	0	275	2.058891203975465	LightGBM	random
0.9593402777777778	0.8939583333333332	0.8791785074828553	0.9145833333333334	Klebsiella pneumoniae	amikacin	PSI	53	A-b	212	82	0	275	2.058891203975465	LightGBM	random
0.9640798611111112	0.96125	1.0	0.9154166666666664	Klebsiella pneumoniae	amikacin	PSI	54	A-b	212	82	0	275	2.058891203975465	LightGBM	random
0.9663802083333332	0.9520833333333334	0.9579884716732544	0.9491666666666666	Klebsiella pneumoniae	amikacin	PSI	55	A-b	212	82	0	275	2.058891203975465	LightGBM	random
0.9374763705103972	0.8889130434782608	0.908304718317533	0.8699999999999999	Klebsiella pneumoniae	amikacin	PSI	56	A-b	213	82	0	276	2.058891203975465	LightGBM	random
0.9406899810964084	0.9493478260869568	1.0	0.898695652173913	Klebsiella pneumoniae	amikacin	PSI	57	A-b	213	82	0	276	2.058891203975465	LightGBM	random
0.9906049149338374	0.9541304347826088	1.0	0.8969565217391303	Klebsiella pneumoniae	amikacin	PSI	58	A-b	213	82	0	276	2.058891203975465	LightGBM	random
0.96586011342155	0.916521739130435	0.912488857519292	0.9147826086956524	Klebsiella pneumoniae	amikacin	PSI	59	A-b	213	82	0	276	2.058891203975465	LightGBM	random
